date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:32	26/26	---M--	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202025%2018:37:31%20GMT	https://redart.wpengine.com/robots.txt		(from )
18:37:32	204376/204376	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2018:37:31%20GMT	https://redart.wpengine.com/	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/index.html	(from )
18:37:33	9234/9234	---MCZ	200	added ('OK')	text/css	etag:W/%22656b1d69-2412%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://redart.wpengine.com/)
18:37:33	68/68	---M--	200	added ('OK')	image/png	etag:%22656b1d6a-44%22	http://redart.wpengine.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://redart.wpengine.com/)
18:37:34	21310/21310	---MCZ	200	added ('OK')	application/javascript	etag:W/%22656b1d68-533e%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min005e.js	(from https://redart.wpengine.com/)
18:37:34	1676/1676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22656b1d69-68c%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	(from http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6)
18:37:34	1304/1304	---M--	200	added ('OK')	font/woff	etag:%22656b1d69-518%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	(from http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6)
18:37:35	1676/1676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22656b1d69-68c%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.eot?	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/stard41d.eot	(from http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6)
18:37:35	1512/1512	---M--	200	added ('OK')	application/octet-stream	etag:%22656b1d69-5e8%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	(from http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6)
18:37:35	929/929	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22656b1d69-3a1%22	http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	C:/Users/Rats/artsitecopy/artsite/redart.wpengine.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	(from http://redart.wpengine.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6)
